2022-04-19 12:45:26 train.py[line:151] INFO YuiConfigPro(RANDOM_SEED=233, DATASET_DIR='D:/A日常/大学/毕业设计/dataset/maestro-v3.0.0/', DATAMETA_NAME='maestro-v3.0.0_tinymp3.csv', WORKSPACE='D:/A日常/大学/毕业设计/code/yui/', MAX_INPUTS_LENGTH=512, MAX_TARGETS_LENGTH=1024, PROGRAM_GRANULARITY='flat', SAMPLE_RATE=16000, FRAME_SIZE=128, HOP_WIDTH=128, NUM_MEL_BINS=256, FFT_SIZE=2048, MEL_LO_HZ=20.0, MEL_HI_HZ=8000.0, PAD_ID=0, ENCODED_EOS_ID=1, ENCODED_UNK_ID=2, EXTRA_IDS=100, DECODED_EOS_ID=-1, DECODED_INVALID_ID=-2, STEPS_PER_SECOND=100, MAX_SHIFT_SECONDS=10, NUM_VELOCITY_BINS=127, CUDA=True, BATCH_SIZE=4, NUM_WORKERS=3, NUM_EPOCHS=160, TRAIN_ITERATION=600, LEARNING_RATE=0.001, OVERFIT_PATIENCE=8)
2022-04-19 12:45:26 train.py[line:153] INFO Using GPU.
2022-04-19 12:45:26 train.py[line:154] INFO GPU number: 1
2022-04-19 12:45:26 train.py[line:177] INFO The model has 4,641,792 trainable parameters
2022-04-19 12:45:27 train.py[line:225] INFO resume training with epoch=60, lr=0.002
2022-04-19 12:45:27 train.py[line:255] INFO -------train loop starts, start_time=1650343527.757s-------
2022-04-19 12:45:45 train.py[line:78] INFO train: epoch=60, iteration=20, loss=3.8877875804901123, lr=[0.002], in 17.887s
2022-04-19 12:45:50 train.py[line:78] INFO train: epoch=60, iteration=40, loss=4.280746936798096, lr=[0.002], in 4.459s
2022-04-19 12:45:54 train.py[line:78] INFO train: epoch=60, iteration=60, loss=3.1860969066619873, lr=[0.002], in 4.463s
2022-04-19 12:45:59 train.py[line:78] INFO train: epoch=60, iteration=80, loss=2.4450416564941406, lr=[0.002], in 4.473s
2022-04-19 12:46:03 train.py[line:78] INFO train: epoch=60, iteration=100, loss=4.28701114654541, lr=[0.002], in 4.476s
2022-04-19 12:46:07 train.py[line:78] INFO train: epoch=60, iteration=120, loss=4.326605796813965, lr=[0.002], in 4.471s
2022-04-19 12:46:12 train.py[line:78] INFO train: epoch=60, iteration=140, loss=3.5141067504882812, lr=[0.002], in 4.471s
2022-04-19 12:46:16 train.py[line:78] INFO train: epoch=60, iteration=160, loss=2.826608896255493, lr=[0.002], in 4.469s
2022-04-19 12:46:21 train.py[line:78] INFO train: epoch=60, iteration=180, loss=4.36863899230957, lr=[0.002], in 4.480s
2022-04-19 12:46:25 train.py[line:78] INFO train: epoch=60, iteration=200, loss=4.226795196533203, lr=[0.002], in 4.476s
2022-04-19 12:46:30 train.py[line:78] INFO train: epoch=60, iteration=220, loss=3.1191227436065674, lr=[0.002], in 4.509s
2022-04-19 12:46:34 train.py[line:78] INFO train: epoch=60, iteration=240, loss=3.1013827323913574, lr=[0.002], in 4.492s
2022-04-19 12:46:39 train.py[line:78] INFO train: epoch=60, iteration=260, loss=4.296520233154297, lr=[0.002], in 4.483s
